Year,Income
2007Q4,2732
2008Q1,2691
2008Q2,2657
2008Q3,2638
2008Q4,2621
2009Q1,2593
2009Q2,2579
2009Q3,2510
2009Q4,2484
2010Q1,2461
2010Q2,2458
2010Q3,2417
2010Q4,2391
2011Q1,2362
2011Q2,2386
2011Q3,2397
2011Q4,2431
2012Q1,2458
2012Q2,2463
2012Q3,2481
2012Q4,2496
2013Q1,2504
2013Q2,2519
2013Q3,2522
2013Q4,2531
2014Q1,2538
2014Q2,2551
2014Q3,2564
2014Q4,2573
2015Q1,2617
2015Q2,2634
2015Q3,2673
2015Q4,2696
2016Q1,2731
2016Q2,2745
2016Q3,2769
2016Q4,2794
2017Q1,2818
2017Q2,2847
2017Q3,2861
2017Q4,2883
