"Year","Income","Rent"
"2007Q4",2732,1359.35
"2008Q1",2691,1349.44
"2008Q2",2657,1348.86
"2008Q3",2638,1325.27
"2008Q4",2621,1298.74
"2009Q1",2593,1262.2
"2009Q2",2579,1221.37
"2009Q3",2510,1181.53
"2009Q4",2484,1127.15
"2010Q1",2461,1089.02
"2010Q2",2458,1065.19
"2010Q3",2417,1054.14
"2010Q4",2391,1031.61
"2011Q1",2362,1027.02
"2011Q2",2386,1031.8
"2011Q3",2397,1040.48
"2011Q4",2431,1032.33
"2012Q1",2458,1033.07
"2012Q2",2463,1036.69
"2012Q3",2481,1048.27
"2012Q4",2496,1046.76
"2013Q1",2504,1049.4
"2013Q2",2519,1059.6
"2013Q3",2522,1074.46
"2013Q4",2531,1077.84
"2014Q1",2538,1090.71
"2014Q2",2551,1109.54
"2014Q3",2564,1134.98
"2014Q4",2573,1154.01
"2015Q1",2617,1174.66
"2015Q2",2634,1197.24
"2015Q3",2673,1233.08
"2015Q4",2696,1247.68
"2016Q1",2731,1261.82
"2016Q2",2745,1285.21
"2016Q3",2769,1310.76
"2016Q4",2794,1321.97
"2017Q1",2818,1348.04
"2017Q2",2847,1377.59
"2017Q3",2861,1398.95
"2017Q4",2883,1421.78
